,date,store,item,sales
0,2018-01-01,7,18,454904
1,2018-02-01,8,18,459417
2,2018-03-01,9,18,617382
3,2018-04-01,10,18,682274
4,2018-05-01,1,19,763242
5,2018-06-01,2,19,795597
6,2018-07-01,3,19,855922
7,2018-08-01,4,19,766761
8,2018-09-01,5,19,689907
9,2018-10-01,6,19,656587
10,2018-11-01,7,19,692643
11,2018-12-01,8,19,506607
12,2019-01-01,9,19,525987
13,2019-02-01,10,19,529117
14,2019-03-01,1,20,704301
15,2019-04-01,2,20,788914
16,2019-05-01,3,20,882877
17,2019-06-01,4,20,906842
18,2019-07-01,5,20,989010
19,2019-08-01,6,20,885596
20,2019-09-01,7,20,785124
21,2019-10-01,8,20,758883
22,2019-11-01,9,20,800783
23,2019-12-01,10,20,578048
24,2015-01-01,1,21,552513
25,2015-02-01,2,21,551317
26,2015-03-01,3,21,730951
27,2015-04-01,4,21,824467
28,2015-05-01,5,21,926902
29,2015-06-01,6,21,937184
30,2015-07-01,7,21,1037350
31,2015-08-01,8,21,920401
32,2015-09-01,9,21,823332
33,2015-10-01,10,21,797253
34,2015-11-01,1,22,827645
35,2015-12-01,2,22,607572
36,2016-01-01,3,22,602439
37,2016-02-01,4,22,614957
38,2016-03-01,5,22,790881
39,2016-04-01,6,22,901950
40,2016-05-01,7,22,988730
41,2016-06-01,8,22,1022664
42,2016-07-01,9,22,1138718
43,2016-08-01,10,22,981494
44,2016-09-01,1,23,896831
45,2016-10-01,2,23,863637
46,2016-11-01,3,23,891448
47,2016-12-01,4,23,663411
48,2017-01-01,5,23,617306
49,2017-02-01,6,23,621369
50,2017-03-01,7,23,822667
51,2017-04-01,8,23,938862
52,2017-05-01,9,23,1020686
53,2017-06-01,10,23,1064624
54,2017-07-01,1,24,1171393
55,2017-08-01,2,24,1026403
56,2017-09-01,3,24,935263
57,2017-10-01,4,24,891160
58,2017-11-01,5,24,928837
59,2017-12-01,6,24,695170
